City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lerwick,60.1545,-1.1494,4.0,80,100,7.13,GB,1703811187
83,maracacume,-2.0428,-45.9592,23.98,97,100,1.38,BR,1703811335
84,wailua homesteads,22.0669,-159.378,26.24,97,100,4.63,US,1703811335
85,aswan,24.0934,32.907,14.27,73,0,2.76,EG,1703811124
86,pisco,-13.7,-76.2167,21.68,86,100,1.86,PE,1703811336
87,ancud,-41.8697,-73.8203,13.36,91,56,2.14,CL,1703811336
88,havre,49.5833,0.3333,10.87,82,100,7.72,FR,1703811336
89,gobabis,-22.45,18.9667,21.82,40,2,4.41,NA,1703811336
90,vilyuysk,63.7553,121.6247,-37.83,98,99,1.05,RU,1703811337
91,st. john's,47.5649,-52.7093,-1.58,75,9,5.21,CA,1703811328
92,tiksi,71.6872,128.8694,-32.4,100,100,1.75,RU,1703811337
93,awjilah,29.1081,21.2869,12.61,66,0,2.53,LY,1703811337
94,weno,7.4515,151.8468,29.97,79,40,2.06,FM,1703811337
95,isafjordur,66.0755,-23.124,-8.89,86,80,2.03,IS,1703811338
96,necochea,-38.5473,-58.7368,16.54,85,0,3.69,AR,1703811338
97,lebu,-37.6167,-73.65,13.74,95,34,3.04,CL,1703811338
98,islamkot,24.6997,70.177,18.27,30,0,3.39,PK,1703811338
99,saint-pierre,-21.3393,55.4781,23.82,64,0,2.57,RE,1703811338
100,hawaiian paradise park,19.5933,-154.9731,26.13,72,0,0.89,US,1703811054
101,huarmey,-10.0681,-78.1522,22.61,80,100,2.78,PE,1703811339
102,margate,51.3813,1.3862,11.06,83,99,0.45,GB,1703811339
103,papao,-17.75,-149.55,30.82,88,70,7.25,PF,1703811339
104,talnakh,69.4865,88.3972,-19.89,83,100,1.79,RU,1703811340
105,minas de marcona,-15.2119,-75.1103,18.04,83,96,3.03,PE,1703811340
106,al kharijah,25.4514,30.5464,13.96,71,0,3.35,EG,1703811340
107,chios,38.3678,26.1358,14.58,70,0,2.12,GR,1703811340
108,tromso,69.6496,18.957,-5.99,86,100,1.03,NO,1703811340
109,riverton,40.5219,-111.9391,4.36,68,0,2.24,US,1703811341
110,san andres,12.5847,-81.7006,28.01,74,20,3.09,CO,1703811341
